ID_neurona,rata,sesion,mean_rate,std_rate,firing_rate,ISI_peak_time,ISI_index,ISI_ratio,CV,CV2,peak_time_ccg,potencia_tot,ancho_banda,frec_dominante,pot_frec_dominante,pot_rango_freq,AUC,AUC_depol,AUC_repol,AUC_asimetria,wf_invertida,asimetria,value_min,value_max_1,value_max_2,duracion,dur_1max_min,dur_2max_min,dur_1max_2max,pendiente_depol,pendiente_repol,proporcion_energia,clu_metric_error,tetrodo,type,calidad,estructura,estructura_fina,m_pre,m_post,DA,ISI_time,ID,peak_ratio,peak_amplitude,slope_ratio,power_ratio,AUC_tiempo_tot
504,15,12,0.853235561613988,0.238958741212863,1.04610771067988,14.0,1.48640395422075,0.0288901601830664,3.97,0.87,22.0,6755100.9,7216.87,1737,935.89,2731707.78,5017381.69,1.26,1.47,1.17,0,-4.82705105522808,-1.0,0.0862898964619927,0.298445603412888,0.193769750600036,0.37,0.31,0.68,-0.0905241580384993,0.129844560341288,1.13,,2,SU,2,VTA,,60.12,65.74,2.0,22.0,504,0.7701516315905409,0.5403032631810817,-0.09347970725216226,0.0003424851949321296,2.73
505,15,12,0.786048604447383,0.208929308452191,0.0176495152788427,12.0,0.0,0.0,1.51,1.09,10.6,1934649.77,2444.12,4132,791.23,148574.89,1271608.69,0.49,0.65,1.31,0,-0.95213072808728,-1.0,0.6431945781972,0.759062487969556,0.084374255485826,0.12,0.12,0.25,-0.410798644549299,0.439765621992389,1.77,,3,SU,1,VTA,,15.67,5.81,2.0,12.0,505,0.5684846370376962,0.13696927407539253,0.6292278238672623,0.005297252147943589,1.1400000000000001
506,15,12,,,,,,,,,,5452408.93,6662.33,2214,818.27,2012094.17,3829722.81,1.11,1.14,1.03,0,6.33600054458442,-0.698038525092146,5.99692741930757,0.0736566813391117,0.610738994955396,0.31,1.97,2.27,-0.669496594439969,0.0120577376004884,16.81,1.0,3,SU,1,VTA,,0.73,5.79,2.0,,506,0.10426319280623816,-0.7914736143875236,-6.931506849315069,0.00040651047891581413,2.25
507,15,12,,,,,,,,,,1962017.92,6462.43,2726,303.56,767439.95,1347825.35,1.08,1.08,1.0,0,6.38660612505706,-0.463849361461738,4.9171408524264,0.0628888719517582,0.443625355021713,0.74,1.51,2.24,-0.224207925578673,0.0107497598655816,24.59,1.0,3,SU,1,VTA,,18.49,27.51,2.0,,507,0.0862014876489758,-0.8275970247020485,-0.48783126014061673,0.0003953924664241056,2.16
508,15,12,,,,,,,,,,2983963.68,6882.07,2253,433.52,1112872.36,2103897.11,1.11,1.17,1.06,0,6.12446198957217,-0.510422719385816,5.0418009934619,0.044064420383784,0.633284966757322,0.61,1.51,2.12,-0.277611185642386,0.0113160640769306,13.72,1.0,3,SU,1,VTA,,16.41,25.7,2.0,,508,0.09193122355727665,-0.8161375528854466,-0.5661182205971969,0.0003893988236188961,2.2800000000000002
509,15,12,0.802809722729752,0.0,0.00029914432676,,,,,,,2026360.41,5581.09,1961,363.01,563905.85,1484443.48,1.08,1.14,1.06,0,5.17694263610548,-1.0,3.64868997893117,0.0030555466024613,0.301798266580979,0.22,0.55,0.77,-0.664098568418736,0.0557253081445812,5.79,1.0,3,SU,1,VTA,,0.83,6.41,2.0,,509,0.21511436652738902,-0.569771266945222,-6.72289156626506,0.00064332807591048,2.2199999999999998
510,15,12,,,,,,,,,,799975.41,2973.58,3132,268.94,51779.99,564998.55,0.74,0.65,0.88,0,-1.02443127294321,-1.0,0.877923868258827,0.238820982702968,0.106749078670971,0.15,0.15,0.31,-0.375584773651767,0.247764196540594,1.49,1.0,3,SU,1,VTA,,9.86,18.87,2.0,,510,0.5325029501473773,0.06500590029475453,-0.913793103448276,0.005167061071188207,1.3900000000000001
511,15,12,,,,,,,,,,1492751.09,2928.44,3025,509.57,104561.17,1111517.45,0.74,0.71,0.96,0,-1.84769201380344,-1.0,0.807022649631304,0.12856439690998,0.117668032090578,0.15,0.15,0.31,-0.361404529926262,0.225712879381996,1.48,1.0,3,SU,1,VTA,,0.12,10.84,2.0,,511,0.5533964946172839,0.10679298923456779,-89.33333333333333,0.004849780252808727,1.45
512,15,12,0.58851082128377,0.222132731511046,0.00059828865352,,,0.0,0.0,,,1815576.54,3671.04,3923,494.43,342275.28,1307899.84,0.8,0.74,0.92,0,-3.30988475097291,-1.0,0.665610249261126,0.0617967790710822,0.12074324666911,0.15,0.28,0.43,-0.333122049852226,0.117977419896787,1.24,1.0,3,SU,1,VTA,,24.93,2.17,1.0,,512,0.6003805514787182,0.20076110295743627,0.9129562775772162,0.0014424553441434484,1.54
513,15,12,0.784136348411166,0.0,0.00029914432676,,,,,,,916475.15,2811.79,3724,325.82,65862.12,642335.94,0.68,0.8,1.18,0,-1.91758867346978,-1.0,0.724548884530705,0.20359233997589,0.113950763380033,0.15,0.15,0.31,-0.344909776906141,0.240718467995178,1.44,1.0,3,SU,1,VTA,,2.06,9.76,2.0,,513,0.5798617881870749,0.15972357637414986,-3.7378640776699026,0.004922649050567218,1.48
